lecture_number
2461989
2461988
2461987
2461986
2461985
2461984
2461983
2461982
2461981
2461980
2461979
2326577
2326341
2098626
2098576
2098536
2021411
2021410
2021409
2260986
2181768
2181767
2021049
1928642
1868621
1408907
929788
929787
929786
2461751
2461750
2326405
1409062
929957
929955
929869
929868
1701554
929982
2098529
1868590
1786632
1408092
1073073
928774
928422
926502
2181750
929893
1407610
928259
2181715
2020991
2181672
2181822
2181821
1868687
1868686
1701323
1701322
2461726
2020972
1949224
1868594
1701708
1072928
928712
926364
926363
2181803
930137
930302
1701591
930083
2461794
2461765
2261013
2260801
2021041
2021040
2021039
1868889
1072902
929936
929781
927270
926451
926337
926336
926335
926010
925907
2098636
1701324
1626162
1626161
1408166
1073335
1073203
928851
928850
928849
926782
926647
926646
2021379
929451
1786764
927450
927448
2461975
2461843
2387436
2326494
2098698
2021183
2021177
1949055
1949054
1868730
2181758
2098747
1949148
929824
927542
2387307
2326403
2260804
2181712
2181711
2021035
2020981
2020980
1948875
1868599
1786616
1786615
1786614
1786613
1701540
1626123
1626122
1409006
1072987
2326366
2020950
1407879
928556
2261028
1786901
1626249
1408512
1073538
929229
926995
926994
2462070
2326358
1701680
1701284
928770
928498
2021298
1949194
2462062
2098827
2021383
1949276
1868887
926841
2462031
2461998
2326511
2181929
1868782
929669
2461894
2326348
928381
928380
928378
2461885
2181973
928181
2461961
2461774
2326426
2326425
2021278
1626367
929831
928107
927545
2021014
2021013
2326442
2021225
1626285
927240
930147
2181952
2021295
928166
928374
2461966
2181911
2181757
1409086
929980
929890
929889
929888
2326417
2461962
2387541
2260991
2098799
2098548
1949149
2326516
2326515
2098742
1786763
2462044
2462043
2387456
2261025
2181927
2181926
2181925
2181924
2021239
1786744
1701471
1626300
1626299
927494
927330
927328
927327
927325
927323
2261007
2260993
2181880
2021086
1868739
1868738
1868663
1701393
1409251
1074460
930155
929048
927928
2461714
2181699
928621
928589
2462069
2462068
2462067
2462053
2462052
2462051
2387617
2387614
2387604
2387603
2387602
2326574
2261041
2261040
2261030
2182032
2182031
2182030
2098875
2326407
2098466
1409120
1409098
929994
929894
2461822
2021104
1868864
1786657
1786656
1786655
1626155
1073164
926597
926596
926595
926594
926593
1626227
1073384
926844
2461906
2181961
2021283
930338
2181762
2387336
1074289
929983
928502
927731
927641
927639
2461821
2326447
2021103
2021102
2021101
1928645
1408164
1408161
928848
928846
928845
2326373
1701298
1407968
1407967
928658
928657
928656
2461744
2326401
2181902
2326452
2021221
929180
930080
2461876
2020996
1786563
1072476
930323
925937
2181814
930185
1701303
1408011
1408010
928716
928687
928686
928685
2326465
2461716
2020964
1407941
1407915
1407914
928625
928598
928597
2326543
2461976
2461792
1868636
1409185
930086
929015
2461848
2387432
2260919
2260915
2098694
1949048
1949043
1786694
1626214
1626208
1626207
1073324
926773
926772
2181801
2181984
2098783
2021327
1949185
1409464
930384
2181876
2021176
1868728
1701383
2021088
1868666
2098733
2021412
1868806
1409462
930381
927344
2020995
2461893
1701627
2461963
2021181
2181898
1701437
929178
2181816
2181815
930201
930178
1409298
930203
2021199
1868750
929119
2021296
2181935
929720
927451
